Usage_kWh,Lagging_Current_Reactive.Power_kVarh,Leading_Current_Reactive_Power_kVarh,CO2(tCO2),Lagging_Current_Power_Factor,Leading_Current_Power_Factor,NSM,Day_Of_Week,Year,Month,Day,Hour,Minute,WeekStatus_Weekend,Load_Type
2.81,3.96,0,0,57.87,100,1800,0,2018,7,1,0,30,1,0
89.21,41.47,0,0.04,90.68,100,84600,5,2018,2,23,23,30,0,0
3.53,6.08,0,0,50.21,100,26100,2,2018,10,30,7,15,0,0
2.7,4.82,0,0,48.87,100,30600,0,2018,10,14,8,30,1,0
3.02,4.46,0,0,56.07,100,4500,4,2018,6,28,1,15,0,0
3.17,4.93,0,0,54.08,100,1800,6,2018,6,30,0,30,1,0
3.78,2.7,0,0,81.37,100,19800,2,2018,11,27,5,30,0,0
2.88,4.97,0,0,50.14,100,83700,0,2018,8,12,23,15,1,0
5.51,1.84,0.22,0,94.85,99.92,27900,2,2018,11,20,7,45,0,0
2.88,5.29,0,0,47.82,100,18000,1,2018,6,11,5,0,0,0
3.82,3.71,0,0,71.74,100,27000,3,2018,3,7,7,30,0,0
2.7,5,0,0,47.51,100,9000,5,2018,8,10,2,30,0,0
37.01,29.45,0,0.02,78.25,100,17100,5,2018,1,19,4,45,0,0
3.92,6.52,0,0,51.53,100,27900,1,2018,10,22,7,45,0,0
36.97,29.16,0.04,0.02,78.52,100,29700,1,2018,1,15,8,15,0,0
3.64,4.46,0,0,63.23,100,27900,4,2018,3,1,7,45,0,0
41.15,31.57,0,0.02,79.34,100,17100,0,2018,1,21,4,45,1,0
3.53,4.75,0,0,59.65,100,83700,4,2018,6,21,23,15,0,0
2.88,4.64,0,0,52.74,100,19800,1,2018,6,25,5,30,0,0
2.95,5.54,0,0,47,100,9000,5,2018,8,24,2,30,0,0
22.46,14.98,0,0.01,83.19,100,17100,3,2018,11,28,4,45,0,0
4.07,3.89,0,0,72.29,100,23400,3,2018,2,7,6,30,0,0
3.2,4.07,0,0,61.81,100,20700,5,2018,3,30,5,45,0,0
4.03,4.72,0,0,64.93,100,12600,5,2018,12,7,3,30,0,0
3.89,3.02,0,0,78.99,100,27900,3,2018,4,18,7,45,0,0
9.65,8.53,0,0,74.92,100,27900,1,2018,4,30,7,45,0,0
35.71,36.18,0,0.02,70.25,100,29700,5,2018,9,7,8,15,0,0
4.82,7.7,0,0,53.06,100,28800,3,2018,8,8,8,0,0,0
2.66,3.38,0,0,61.84,100,5400,0,2018,4,29,1,30,1,0
3.89,2.66,0.11,0,82.55,99.96,20700,4,2018,12,13,5,45,0,0
2.99,4.72,0,0,53.51,100,13500,3,2018,11,7,3,45,0,0
3.28,3.13,0,0,72.35,100,27900,0,2018,3,11,7,45,1,0
2.99,6.19,0,0,43.5,100,21600,5,2018,6,1,6,0,0,0
2.88,5.36,0,0,47.33,100,9000,5,2018,9,21,2,30,0,0
2.92,4.9,0,0,51.19,100,9000,3,2018,5,30,2,30,0,0
3.24,4.68,0,0,56.92,100,15300,1,2018,2,19,4,15,0,0
29.41,21.96,0,0.01,80.13,100,29700,5,2018,3,2,8,15,0,0
3.42,3.35,0,0,71.44,100,13500,6,2018,3,3,3,45,1,0
2.84,5.11,0,0,48.58,100,4500,5,2018,9,21,1,15,0,0
3.13,3.89,0,0,62.69,100,30600,5,2018,2,16,8,30,0,0
3.82,5.26,0,0,58.76,100,10800,6,2018,4,7,3,0,1,0
2.59,4.64,0,0,48.74,100,4500,3,2018,9,5,1,15,0,0
3.17,2.81,0,0,74.83,100,4500,6,2018,4,28,1,15,1,0
3.64,6.98,0,0,46.24,100,3600,2,2018,10,16,1,0,0,0
3.38,4.18,0,0,62.88,100,22500,5,2018,4,20,6,15,0,0
36.14,25.45,0.14,0.02,81.76,100,29700,3,2018,12,19,8,15,0,0
2.77,4.46,0,0,52.76,100,25200,3,2018,10,10,7,0,0,0
2.95,4.32,0,0,56.39,100,2700,5,2018,6,29,0,45,0,0
2.99,6.34,0,0,42.66,100,2700,2,2018,9,25,0,45,0,0
3.6,3.78,0,0,68.97,100,4500,5,2018,4,20,1,15,0,0
4.61,4.93,0,0,68.3,100,27000,0,2018,2,4,7,30,1,0
3.38,4.36,0,0,61.27,100,5400,1,2018,4,30,1,30,0,0
3.46,3.02,0,0,75.34,100,2700,1,2018,11,26,0,45,0,0
2.92,5.11,0,0,49.61,100,16200,2,2018,7,24,4,30,0,0
3.38,2.3,0.14,0,82.67,99.91,17100,4,2018,12,20,4,45,0,0
2.88,3.82,0,0,60.2,100,26100,0,2018,4,29,7,15,1,0
124.63,53.14,0,0.06,91.99,100,32400,4,2018,1,11,9,0,0,0
3.06,3.64,0,0,64.35,100,1800,4,2018,4,19,0,30,0,0
3.56,7.09,0,0,44.87,100,9900,3,2018,10,3,2,45,0,0
2.88,4.36,0,0,55.12,100,4500,4,2018,5,24,1,15,0,0
4.61,4.9,0,0,68.52,100,25200,5,2018,1,5,7,0,0,0
2.95,4.68,0,0,53.32,100,13500,1,2018,11,19,3,45,0,0
3.49,4.46,0,0,61.63,100,900,5,2018,6,29,0,15,0,0
3.1,2.48,0,0,78.09,100,21600,0,2018,12,30,6,0,1,0
3.31,2.27,0.14,0,82.47,99.91,10800,6,2018,12,22,3,0,1,0
3.24,4.03,0,0,62.66,100,85500,6,2018,4,7,23,45,1,0
2.84,5.94,0,0,43.13,100,18900,5,2018,7,27,5,15,0,0
3.1,3.56,0,0,65.67,100,15300,4,2018,4,19,4,15,0,0
3.13,3.96,0,0,62.01,100,81900,0,2018,4,15,22,45,1,0
3.06,5.72,0,0,47.17,100,9900,2,2018,8,14,2,45,0,0
3.35,2.77,0,0,77.07,100,16200,6,2018,12,8,4,30,1,0
3.35,2.34,0.11,0,81.98,99.95,17100,6,2018,12,22,4,45,1,0
2.95,5.44,0,0,47.67,100,3600,2,2018,9,18,1,0,0,0
3.64,4.57,0,0,62.3,100,900,2,2018,3,20,0,15,0,0
4.61,4.79,0,0,69.34,100,3600,4,2018,1,4,1,0,0,0
3.82,5.4,0,0,57.75,100,1800,6,2018,4,7,0,30,1,0
2.92,5.15,0,0,49.32,100,11700,6,2018,6,2,3,15,1,0
2.84,4.1,0,0,56.94,100,85500,2,2018,5,1,23,45,0,0
4.54,5.26,0,0,65.34,100,83700,6,2018,11,3,23,15,1,0
3.24,2.38,0,0,80.59,100,19800,3,2018,12,26,5,30,0,0
3.53,6.08,0,0,50.21,100,24300,6,2018,9,1,6,45,1,0
2.84,5.11,0,0,48.58,100,12600,6,2018,6,16,3,30,1,0
4.93,3.71,0,0,79.9,100,3600,0,2018,12,23,1,0,1,0
6.08,7.24,0,0,64.31,100,9000,5,2018,2,23,2,30,0,0
3.6,5.33,0,0,55.97,100,17100,6,2018,11,17,4,45,1,0
2.99,5.54,0,0,47.5,100,5400,4,2018,6,7,1,30,0,0
38.16,29.23,0,0.02,79.39,100,19800,5,2018,1,26,5,30,0,0
2.52,4.61,0,0,47.97,100,29700,0,2018,10,7,8,15,1,0
3.35,4.36,0,0,60.93,100,12600,4,2018,3,22,3,30,0,0
3.06,4.25,0,0,58.43,100,28800,0,2018,3,4,8,0,1,0
3.71,4.57,0,0,63.03,100,11700,2,2018,1,2,3,15,0,0
2.95,4.36,0,0,56.04,100,30600,0,2018,8,19,8,30,1,0
2.77,5.9,0,0,42.5,100,29700,6,2018,8,4,8,15,1,0
3.1,5.69,0,0,47.84,100,15300,5,2018,11,2,4,15,0,0
3.82,2.59,0.43,0,82.77,99.37,84600,1,2018,12,24,23,30,0,0
4.07,7.02,0,0,50.16,100,6300,3,2018,10,17,1,45,0,0
2.84,4.28,0,0,55.29,100,18900,1,2018,4,30,5,15,0,0
2.7,4.43,0,0,52.04,100,3600,6,2018,8,25,1,0,1,0
70.34,57.17,0,0.03,77.6,100,31500,5,2018,3,30,8,45,0,0
2.88,4.25,0,0,56.1,100,9000,2,2018,5,1,2,30,0,0
3.78,3.85,0,0,70.06,100,25200,6,2018,12,8,7,0,1,0
35.46,36.68,0,0.02,69.5,100,29700,2,2018,9,18,8,15,0,0
2.81,5.58,0,0,44.98,100,81900,5,2018,8,3,22,45,0,0
2.88,5.44,0,0,46.79,100,14400,0,2018,9,30,4,0,1,0
3.56,5.04,0,0,57.69,100,26100,4,2018,3,29,7,15,0,0
2.95,4.93,0,0,51.35,100,5400,1,2018,8,27,1,30,0,0
2.48,4.32,0,0,49.79,100,25200,1,2018,10,1,7,0,0,0
2.99,5.26,0,0,49.42,100,12600,6,2018,8,11,3,30,1,0
2.56,5.4,0,0,42.84,100,16200,3,2018,9,26,4,30,0,0
3.74,2.77,0,0,80.36,100,14400,2,2018,11,27,4,0,0,0
3.85,4.93,0,0,61.55,100,27000,6,2018,7,7,7,30,1,0
3.2,3.56,0,0,66.85,100,13500,2,2018,6,26,3,45,0,0
39.64,30.1,0,0.02,79.64,100,5400,0,2018,1,21,1,30,1,0
2.99,3.2,0,0,68.27,100,18000,3,2018,3,28,5,0,0,0
3.82,4.9,0,0,61.48,100,27000,2,2018,3,13,7,30,0,0
2.92,4.25,0,0,56.63,100,8100,2,2018,5,1,2,15,0,0
3.17,4.64,0,0,56.41,100,6300,0,2018,4,8,1,45,1,0
80.32,63.4,0,0.04,78.49,100,30600,4,2018,5,31,8,30,0,0
22.54,15.19,0,0.01,82.93,100,13500,3,2018,11,28,3,45,0,0
5.22,5.58,0,0,68.32,100,900,4,2018,3,1,0,15,0,0
4.18,3.31,0.14,0,78.4,99.94,9000,5,2018,12,14,2,30,0,0
2.84,4.68,0,0,51.88,100,17100,6,2018,6,30,4,45,1,0
62.53,51.59,0,0.03,77.14,100,30600,5,2018,2,23,8,30,0,0
3.02,3.71,0,0,63.13,100,17100,2,2018,5,8,4,45,0,0
3.46,4.03,0,0,65.14,100,9900,1,2018,1,1,2,45,0,0
3.2,4.46,0,0,58.3,100,4500,2,2018,5,1,1,15,0,0
98.17,47.16,0,0.05,90.14,100,2700,3,2018,1,31,0,45,0,0
5.62,4.72,0,0,76.58,100,4500,2,2018,11,27,1,15,0,0
2.92,4.14,0,0,57.64,100,85500,0,2018,11,18,23,45,1,0
3.92,4.39,0,0,66.6,100,29700,6,2018,11,24,8,15,1,0
3.2,5.44,0,0,50.7,100,20700,6,2018,4,7,5,45,1,0
2.63,4.21,0,0,52.98,100,5400,0,2018,8,19,1,30,1,0
44.78,34.63,0,0.02,79.11,100,29700,4,2018,2,22,8,15,0,0
2.74,5.54,0,0,44.33,100,25200,1,2018,9,10,7,0,0,0
2.88,4.93,0,0,50.44,100,25200,2,2018,7,24,7,0,0,0
5.26,5.9,0,0,66.55,100,900,1,2018,1,29,0,15,0,0
2.95,4.97,0,0,51.04,100,19800,0,2018,11,4,5,30,1,0
3.24,3.28,0,0,70.28,100,18900,0,2018,1,7,5,15,1,0
60.37,34.96,0,0.03,86.54,100,19800,5,2018,1,19,5,30,0,0
3.53,4,0,0,66.17,100,14400,3,2018,3,7,4,0,0,0
4.64,4.25,0,0,73.74,100,8100,2,2018,1,9,2,15,0,0
50.9,50.83,0,0.02,70.76,100,30600,5,2018,9,14,8,30,0,0
3.31,6.52,0,0,45.27,100,22500,4,2018,10,11,6,15,0,0
3.67,3.13,0,0,76.09,100,13500,3,2018,4,18,3,45,0,0
39.85,30.96,0,0.02,78.97,100,18900,5,2018,1,26,5,15,0,0
3.53,4.43,0,0,62.32,100,5400,5,2018,3,30,1,30,0,0
3.56,6.66,0,0,47.14,100,85500,4,2018,10,11,23,45,0,0
30.06,22.36,0,0.01,80.24,100,10800,4,2018,1,25,3,0,0,0
3.56,5.9,0,0,51.66,100,85500,3,2018,11,7,23,45,0,0
3.78,4.75,0,0,62.27,100,1800,3,2018,4,11,0,30,0,0
97.99,47.77,0,0.04,89.89,100,0,2,2018,1,30,0,0,0,0
32.29,30.46,0,0.01,72.74,100,4500,3,2018,11,14,1,15,0,0
4.14,4.5,0,0,67.71,100,900,6,2018,1,6,0,15,1,0
3.42,4.25,0,0,62.69,100,84600,5,2018,6,15,23,30,0,0
2.81,5.36,0,0,46.43,100,0,3,2018,9,5,0,0,0,0
2.95,4.25,0,0,57.02,100,14400,1,2018,5,7,4,0,0,0
2.74,4.39,0,0,52.95,100,20700,3,2018,7,18,5,45,0,0
23.58,14.36,0,0.01,85.41,100,84600,2,2018,11,27,23,30,0,0
2.63,4.28,0,0,52.35,100,2700,3,2018,8,22,0,45,0,0
2.88,5.83,0,0,44.29,100,20700,1,2018,10,8,5,45,0,0
3.46,3.17,0,0,73.73,100,17100,0,2018,12,30,4,45,1,0
30.28,23.69,0,0.01,78.76,100,8100,5,2018,1,26,2,15,0,0
2.88,5.44,0,0,46.79,100,14400,5,2018,9,28,4,0,0,0
54.22,39.56,0,0.02,80.78,100,30600,5,2018,12,21,8,30,0,0
3.42,2.38,0.04,0,82.08,99.99,18900,3,2018,12,19,5,15,0,0
2.59,4.93,0,0,46.51,100,82800,0,2018,10,7,23,0,1,0
3.74,6.3,0,0,51.05,100,9900,4,2018,11,8,2,45,0,0
3.06,3.56,0,0,65.18,100,17100,0,2018,4,15,4,45,1,0
97.78,62.78,0,0.04,84.15,100,32400,3,2018,6,20,9,0,0,0
64.33,45.76,0,0.03,81.49,100,900,6,2018,10,20,0,15,1,0
3.31,4.21,0,0,61.81,100,9900,4,2018,7,26,2,45,0,0
2.7,5.44,0,0,44.46,100,26100,6,2018,8,11,7,15,1,0
2.84,5,0,0,49.39,100,3600,6,2018,6,9,1,0,1,0
2.77,5.29,0,0,46.39,100,5400,6,2018,8,11,1,30,1,0
55.73,15.23,0.11,0.03,96.46,100,32400,1,2018,1,29,9,0,0,0
41.76,44.35,0,0.02,68.55,100,30600,2,2018,6,5,8,30,0,0
3.24,4.75,0,0,56.35,100,22500,3,2018,3,14,6,15,0,0
3.56,5.8,0,0,52.31,100,6300,4,2018,10,18,1,45,0,0
3.89,5.08,0,0,60.8,100,7200,5,2018,4,6,2,0,0,0
3.74,4.46,0,0,64.25,100,6300,6,2018,3,17,1,45,1,0
4.64,3.96,0,0,76.06,100,4500,6,2018,1,13,1,15,1,0
3.64,3.53,0,0,71.79,100,900,4,2018,4,19,0,15,0,0
3.2,5.44,0,0,50.7,100,82800,0,2018,5,27,23,0,1,0
45.65,31.43,0,0.02,82.37,100,29700,6,2018,11,17,8,15,1,0
2.81,5.83,0,0,43.42,100,25200,4,2018,9,6,7,0,0,0
2.74,5.36,0,0,45.52,100,82800,5,2018,8,3,23,0,0,0
59.47,45.54,0,0.03,79.4,100,31500,1,2018,11,5,8,45,0,0
3.06,2.2,0.07,0,81.19,99.97,14400,1,2018,12,31,4,0,0,0
2.63,4.9,0,0,47.29,100,1800,6,2018,9,15,0,30,1,0
29.74,24.8,0,0.01,76.8,100,29700,3,2018,7,18,8,15,0,0
3.49,2.95,0,0,76.37,100,7200,0,2018,12,23,2,0,1,0
67.03,38.27,0,0.03,86.84,100,2700,5,2018,2,2,0,45,0,0
3.24,5.54,0,0,50.48,100,8100,0,2018,11,18,2,15,1,0
5.4,7.42,0,0,58.84,100,27900,3,2018,10,24,7,45,0,0
3.06,3.85,0,0,62.22,100,17100,1,2018,4,9,4,45,0,0
4.68,4.39,0,0,72.93,100,2700,1,2018,1,15,0,45,0,0
3.67,4.25,0,0,65.36,100,85500,4,2018,5,17,23,45,0,0
2.92,4.68,0,0,52.93,100,85500,2,2018,8,28,23,45,0,0
2.95,4.72,0,0,53,100,15300,3,2018,11,7,4,15,0,0
39.74,46.12,0,0.02,65.28,100,30600,5,2018,6,15,8,30,0,0
39.35,30.92,0,0.02,78.63,100,29700,0,2018,12,16,8,15,1,0
3.13,3.78,0,0,63.78,100,12600,1,2018,4,16,3,30,0,0
76.36,38.02,0,0.04,89.52,100,84600,2,2018,2,20,23,30,0,0
3.02,4.18,0,0,58.56,100,18900,2,2018,7,31,5,15,0,0
4.21,3.64,0.04,0,75.65,100,10800,3,2018,12,12,3,0,0,0
2.56,4.5,0,0,49.45,100,21600,3,2018,8,22,6,0,0,0
40.97,29.05,0,0.02,81.57,100,0,5,2018,2,2,0,0,0,0
3.28,2.34,0.04,0,81.41,99.99,85500,4,2018,3,1,23,45,0,0
36.5,25.81,0,0.02,81.65,100,11700,3,2018,1,24,3,15,0,0
3.24,6.26,0,0,45.97,100,8100,2,2018,9,25,2,15,0,0
3.46,4.97,0,0,57.14,100,23400,3,2018,5,2,6,30,0,0
3.78,4.75,0,0,62.27,100,29700,1,2018,1,1,8,15,0,0
2.77,4.64,0,0,51.26,100,2700,3,2018,8,29,0,45,0,0
2.84,3.71,0,0,60.78,100,26100,1,2018,5,7,7,15,0,0
5.87,6.01,0,0,69.87,100,24300,0,2018,2,4,6,45,1,0
59.8,34.45,0,0.03,86.65,100,10800,6,2018,1,20,3,0,1,0
2.59,5.51,0,0,42.54,100,81000,2,2018,9,25,22,30,0,0
3.31,3.74,0,0,66.27,100,21600,3,2018,3,21,6,0,0,0
3.82,5.44,0,0,57.47,100,85500,6,2018,9,1,23,45,1,0
4.64,4.57,0,0,71.25,100,16200,1,2018,1,15,4,30,0,0
3.89,5.33,0,0,58.95,100,3600,5,2018,3,23,1,0,0,0
3.02,3.38,0,0,66.63,100,13500,3,2018,4,25,3,45,0,0
5.44,5.69,0,0,69.1,100,5400,0,2018,2,25,1,30,1,0
3.38,3.85,0,0,65.97,100,27000,3,2018,4,4,7,30,0,0
4.25,6.37,0,0,55.5,100,18000,1,2018,2,19,5,0,0,0
2.59,3.46,0,0,59.93,100,6300,2,2018,6,26,1,45,0,0
3.53,2.81,0,0,78.24,100,85500,4,2018,4,26,23,45,0,0
4.97,6.48,0,0,60.86,100,19800,4,2018,2,8,5,30,0,0
3.1,5.29,0,0,50.56,100,27000,5,2018,6,1,7,30,0,0
4.1,5.22,0,0,61.77,100,8100,5,2018,11,30,2,15,0,0
2.84,4.82,0,0,50.76,100,17100,0,2018,5,27,4,45,1,0
39.49,28.44,0,0.02,81.15,100,27000,6,2018,1,20,7,30,1,0
57.74,33.84,0,0.03,86.27,100,85500,1,2018,2,12,23,45,0,0
3.82,2.48,0.43,0,83.87,99.37,84600,4,2018,12,20,23,30,0,0
3.17,5.18,0,0,52.2,100,14400,1,2018,6,4,4,0,0,0
4.86,3.31,0,0,82.65,100,22500,3,2018,12,26,6,15,0,0
2.88,5.15,0,0,48.81,100,10800,0,2018,6,10,3,0,1,0
2.59,3.78,0,0,56.52,100,22500,2,2018,6,26,6,15,0,0
2.74,4.68,0,0,50.52,100,2700,4,2018,9,13,0,45,0,0
2.45,4.61,0,0,46.93,100,85500,3,2018,9,26,23,45,0,0
3.6,4.5,0,0,62.47,100,8100,2,2018,4,3,2,15,0,0
2.95,4.82,0,0,52.2,100,6300,3,2018,5,30,1,45,0,0
3.1,5.22,0,0,51.06,100,25200,1,2018,5,28,7,0,0,0
3.2,4.32,0,0,59.52,100,0,0,2018,4,22,0,0,1,0
3.35,2.38,0.11,0,81.52,99.95,1800,0,2018,12,23,0,30,1,0
3.49,6.84,0,0,45.45,100,23400,0,2018,11,4,6,30,1,0
2.7,5.04,0,0,47.22,100,16200,3,2018,9,19,4,30,0,0
2.88,5.83,0,0,44.29,100,23400,6,2018,10,6,6,30,1,0
4.07,6.84,0,0,51.14,100,81000,0,2018,2,18,22,30,1,0
3.64,6.62,0,0,48.18,100,84600,5,2018,9,7,23,30,0,0
3.24,2.63,0.04,0,77.64,99.99,18900,5,2018,3,2,5,15,0,0
61.06,40.18,0,0.03,83.54,100,30600,1,2018,12,10,8,30,0,0
2.63,4.54,0,0,50.13,100,1800,0,2018,9,2,0,30,1,0
60.98,36.29,0,0.03,85.93,100,1800,0,2018,2,25,0,30,1,0
3.71,6.01,0,0,52.53,100,20700,6,2018,7,21,5,45,1,0
2.99,4.93,0,0,51.86,100,11700,5,2018,9,7,3,15,0,0
5.62,4.03,0,0,81.27,100,22500,2,2018,11,27,6,15,0,0
2.66,5.04,0,0,46.68,100,85500,5,2018,9,14,23,45,0,0
2.66,4.75,0,0,48.86,100,17100,2,2018,10,9,4,45,0,0
3.53,4.07,0,0,65.52,100,3600,2,2018,5,15,1,0,0,0
117.47,56.16,0,0.05,90.22,100,32400,2,2018,4,10,9,0,0,0
2.84,4.1,0,0,56.94,100,20700,5,2018,11,9,5,45,0,0
3.24,2.95,0,0,73.94,100,84600,1,2018,1,1,23,30,0,0
2.7,5.47,0,0,44.26,100,22500,4,2018,10,4,6,15,0,0
2.99,5.98,0,0,44.72,100,27900,3,2018,10,3,7,45,0,0
3.92,3.6,0,0,73.65,100,18000,3,2018,2,21,5,0,0,0
3.13,5.83,0,0,47.3,100,21600,5,2018,5,18,6,0,0,0
3.17,5.15,0,0,52.42,100,17100,6,2018,4,7,4,45,1,0
3.49,3.92,0,0,66.5,100,81900,4,2018,2,15,22,45,0,0
2.88,5.69,0,0,45.16,100,26100,6,2018,6,9,7,15,1,0
5.9,5.47,0,0,73.33,100,5400,6,2018,2,10,1,30,1,0
51.98,53.89,0,0.02,69.42,100,30600,6,2018,10,13,8,30,1,0
3.64,5,0,0,58.86,100,3600,4,2018,3,29,1,0,0,0
2.92,5.87,0,0,44.54,100,20700,5,2018,6,15,5,45,0,0
50.87,40.39,0,0.02,78.32,100,31500,5,2018,10,5,8,45,0,0
2.99,2.12,0.07,0,81.58,99.97,16200,4,2018,12,27,4,30,0,0
3.82,6.34,0,0,51.61,100,9000,2,2018,10,23,2,30,0,0
3.1,6.01,0,0,45.84,100,18900,6,2018,7,7,5,15,1,0
2.45,5.08,0,0,43.44,100,25200,4,2018,9,27,7,0,0,0
6.05,5.4,0,0,74.6,100,7200,4,2018,2,22,2,0,0,0
3.28,6.44,0,0,45.38,100,18000,0,2018,10,28,5,0,1,0
2.88,4.64,0,0,52.74,100,9000,5,2018,9,7,2,30,0,0
3.46,5.18,0,0,55.54,100,30600,6,2018,6,9,8,30,1,0
3.17,6.23,0,0,45.35,100,10800,4,2018,10,25,3,0,0,0
3.2,3.74,0,0,65.01,100,23400,6,2018,2,17,6,30,1,0
3.89,6.26,0,0,52.78,100,2700,2,2018,10,9,0,45,0,0
3.71,4.5,0,0,63.61,100,23400,5,2018,4,20,6,30,0,0
3.46,3.49,0,0,70.4,100,83700,5,2018,4,20,23,15,0,0
2.63,4.32,0,0,52,100,5400,6,2018,8,18,1,30,1,0
3.89,4.28,0,0,67.26,100,26100,4,2018,11,29,7,15,0,0
3.49,6.19,0,0,49.11,100,10800,6,2018,9,1,3,0,1,0
3.24,2.45,0.04,0,79.76,99.99,25200,4,2018,12,6,7,0,0,0
4.46,6.05,0,0,59.34,100,84600,1,2018,3,12,23,30,0,0
5.62,3.74,0,0,83.25,100,30600,3,2018,2,14,8,30,0,0
30.53,23.33,0,0.01,79.46,100,10800,3,2018,1,24,3,0,0,0
2.74,4.28,0,0,53.92,100,84600,5,2018,7,13,23,30,0,0
66.46,57.2,0,0.03,75.79,100,30600,2,2018,10,30,8,30,0,0
3.06,5.65,0,0,47.62,100,24300,2,2018,10,23,6,45,0,0
2.99,4.75,0,0,53.27,100,9000,0,2018,5,13,2,30,1,0
4.82,3.82,0,0,78.37,100,27000,1,2018,2,26,7,30,0,0
44.35,32.47,0,0.02,80.69,100,29700,5,2018,3,30,8,15,0,0
2.7,4.86,0,0,48.56,100,28800,0,2018,9,16,8,0,1,0
3.13,3.82,0,0,63.38,100,21600,6,2018,2,17,6,0,1,0
6.01,5.04,0,0,76.62,100,13500,6,2018,2,24,3,45,1,0
2.92,4.14,0,0,57.64,100,18900,2,2018,5,15,5,15,0,0
3.64,5.8,0,0,53.16,100,9000,3,2018,10,31,2,30,0,0
75.38,27.68,0,0.03,93.87,100,32400,4,2018,6,14,9,0,0,0
91.8,59.33,0,0.04,83.99,100,30600,1,2018,10,15,8,30,0,0
3.31,3.49,0,0,68.81,100,27900,1,2018,5,7,7,45,0,0
3.24,3.06,0,0,72.7,100,15300,4,2018,11,22,4,15,0,0
3.1,4.18,0,0,59.57,100,9000,4,2018,6,28,2,30,0,0
3.85,3.85,0,0,70.71,100,14400,0,2018,12,30,4,0,1,0
4.61,1.91,0.18,0,92.38,99.92,0,2,2018,11,20,0,0,0,0
3.82,5.36,0,0,58.04,100,28800,3,2018,7,25,8,0,0,0
2.7,4.79,0,0,49.1,100,22500,4,2018,7,19,6,15,0,0
3.89,4.72,0,0,63.6,100,7200,4,2018,3,22,2,0,0,0
3.2,1.91,0.47,0,85.87,98.94,8100,5,2018,11,23,2,15,0,0
3.64,3.2,0,0,75.1,100,9900,3,2018,4,18,2,45,0,0
3.67,4.54,0,0,62.87,100,900,2,2018,3,27,0,15,0,0
3.31,4.86,0,0,56.29,100,16200,4,2018,5,17,4,30,0,0
2.84,4.86,0,0,50.45,100,83700,0,2018,6,3,23,15,1,0
3.02,4.68,0,0,54.22,100,13500,1,2018,5,21,3,45,0,0
3.2,3.85,0,0,63.92,100,24300,1,2018,4,16,6,45,0,0
3.1,4.03,0,0,60.97,100,23400,2,2018,4,17,6,30,0,0
4.03,4.39,0,0,67.63,100,16200,0,2018,2,25,4,30,1,0
4.61,7.78,0,0,50.98,100,83700,1,2018,10,22,23,15,0,0
4.61,5.69,0,0,62.95,100,18900,2,2018,1,16,5,15,0,0
6.77,5.54,0,0,77.39,100,3600,2,2018,3,6,1,0,0,0
2.81,4.46,0,0,53.31,100,26100,4,2018,7,19,7,15,0,0
3.02,5.8,0,0,46.18,100,18000,5,2018,8,24,5,0,0,0
2.81,4.68,0,0,51.48,100,19800,4,2018,9,13,5,30,0,0
2.88,3.71,0,0,61.32,100,83700,6,2018,7,28,23,15,1,0
88.49,54.94,0,0.04,84.96,100,30600,1,2018,7,16,8,30,0,0
3.89,3.49,0.04,0,74.43,99.99,82800,2,2018,12,25,23,0,0,0
2.92,4.1,0,0,58.01,100,18900,0,2018,5,6,5,15,1,0
4.21,6.3,0,0,55.56,100,85500,2,2018,6,5,23,45,0,0
82.98,50.9,0,0.04,85.24,100,30600,2,2018,3,6,8,30,0,0
4.57,4.21,0,0,73.55,100,14400,4,2018,1,11,4,0,0,0
3.1,2.56,0,0,77.11,100,84600,6,2018,1,6,23,30,1,0
2.95,4.86,0,0,51.89,100,26100,5,2018,6,29,7,15,0,0
2.84,4.9,0,0,50.15,100,84600,0,2018,6,10,23,30,1,0
6.8,5.51,0,0,77.7,100,5400,2,2018,3,6,1,30,0,0
2.59,4.54,0,0,49.55,100,9000,2,2018,10,9,2,30,0,0
65.52,51.91,0,0.03,78.38,100,30600,2,2018,1,16,8,30,0,0
3.1,3.28,0,0,68.69,100,25200,6,2018,3,10,7,0,1,0
4.21,3.46,0.11,0,77.26,99.97,0,0,2018,12,16,0,0,1,0
3.02,5.08,0,0,51.1,100,18000,5,2018,6,29,5,0,0,0
3.13,6.16,0,0,45.3,100,18000,3,2018,8,8,5,0,0,0
2.74,5.26,0,0,46.2,100,10800,2,2018,8,21,3,0,0,0
2.74,5.22,0,0,46.48,100,23400,5,2018,7,13,6,30,0,0
3.92,5,0,0,61.7,100,3600,4,2018,3,1,1,0,0,0
3.74,2.34,0.04,0,84.77,99.99,14400,3,2018,11,21,4,0,0,0
3.02,5.26,0,0,49.79,100,12600,3,2018,6,6,3,30,0,0
3.1,5.22,0,0,51.06,100,5400,0,2018,5,20,1,30,1,0
74.81,38.09,0,0.03,89.11,100,4500,4,2018,2,22,1,15,0,0
3.06,4.5,0,0,56.23,100,24300,5,2018,5,11,6,45,0,0
3.85,3.64,0,0,72.66,100,29700,0,2018,2,4,8,15,1,0
3.38,4.03,0,0,64.26,100,13500,2,2018,5,22,3,45,0,0
2.81,3.67,0,0,60.79,100,8100,3,2018,7,4,2,15,0,0
3.74,5.44,0,0,56.65,100,27900,1,2018,8,27,7,45,0,0
